customer_state,gmv,orders,users
SP,5769703.15,40501,39156
RJ,2055401.57,12350,11917
MG,1818891.67,11354,11001
RS,861472.79,5345,5168
PR,781708.8,4923,4769
SC,595127.78,3546,3449
BA,591137.81,3256,3158
DF,346123.35,2080,2019
GO,334212.35,1957,1895
ES,317657.93,1995,1928
PE,308972.05,1593,1551
CE,266436.77,1279,1258
PA,212023.57,946,922
MT,181224.42,886,856
MA,147803.55,717,700
PB,137838.55,517,504
MS,134367.55,701,681
PI,105178.19,476,464
RN,100714.78,474,464
AL,94172.49,397,387
SE,70289.13,335,329
TO,60007.37,274,267
RO,56966.0,243,231
AM,27585.47,145,140
AC,19575.33,80,76
AP,16141.81,67,66
RR,9039.52,41,40
